fold,sparsity
0,0.48032444444444444
1,0.6072377777777778
2,0.447285
3,0.41446222222222223
4,0.5057605555555555
5,0.5926844444444445
6,0.40172277777777776
7,0.5891433333333334
8,0.5754483333333333
9,0.5148877777777778
10,0.5136794444444445
11,0.470595
12,0.610355
13,0.44711833333333334
14,0.5126594444444444
15,0.540595
16,0.5966988888888889
17,0.5973555555555555
18,0.34072722222222224
19,0.6086305555555556
20,0.6426105555555556
21,0.4504122222222222
22,0.5937872222222222
23,0.6811633333333333
24,0.6301866666666667
25,0.5651122222222222
26,0.6329972222222222
27,0.5947827777777778
28,0.274755
29,0.37986555555555557
30,0.35179333333333335
31,0.6408844444444445
32,0.6004622222222222
33,0.5232255555555556
34,0.4996861111111111
35,0.6307883333333333
36,0.6610433333333333
37,0.6119394444444445
38,0.26528944444444447
39,0.306375
40,0.6320422222222222
41,0.5926488888888889
42,0.47785666666666665
43,0.5835888888888889
44,0.6163438888888889
45,0.5136111111111111
