fold,sparsity
0,0.6502388888888889
1,0.8008911111111111
2,0.6166966666666667
3,0.5515494444444444
4,0.7148994444444444
5,0.8014272222222222
6,0.5304444444444445
7,0.7889638888888889
8,0.7654333333333333
9,0.6748438888888889
10,0.7030488888888888
11,0.6378588888888889
12,0.7990038888888888
13,0.5942072222222222
14,0.6797711111111111
15,0.7334211111111111
16,0.8137894444444445
17,0.7863827777777778
18,0.451985
19,0.8013138888888889
20,0.8381827777777778
21,0.6008527777777778
22,0.7986222222222222
23,0.8748383333333334
24,0.8322083333333333
25,0.7332644444444445
26,0.8368933333333334
27,0.8107616666666667
28,0.3573483333333333
29,0.48465055555555553
30,0.45601555555555556
31,0.8389972222222222
32,0.8006105555555556
33,0.7112822222222223
34,0.6546577777777778
35,0.8305738888888888
36,0.8622511111111111
37,0.78445
38,0.35299722222222224
39,0.399545
40,0.8359727777777778
41,0.8207161111111111
42,0.6861866666666666
43,0.7651338888888889
44,0.7999072222222222
45,0.6664972222222222
