fold,sparsity
0,0.39023
1,0.4344
2,0.4416933333333333
3,0.36734
4,0.43992333333333333
5,0.4421333333333333
6,0.38941
7,0.4146
8,0.4442
9,0.4172666666666667
10,0.4186166666666667
11,0.39894
12,0.4271
13,0.40837
14,0.4179
15,0.42273333333333335
16,0.4014666666666667
17,0.3980666666666667
18,0.41418
19,0.3970666666666667
20,0.37233333333333335
21,0.42861
22,0.453
23,0.4192666666666667
24,0.4298
25,0.43753333333333333
26,0.40513333333333335
27,0.42733333333333334
28,0.38856666666666667
29,0.39244666666666667
30,0.399
31,0.4253266666666667
32,0.44493333333333335
33,0.43589666666666665
34,0.4262066666666667
35,0.385
36,0.3766
37,0.42086666666666667
38,0.40681333333333336
39,0.40568666666666664
40,0.517
41,0.446
42,0.4564666666666667
43,0.4338666666666667
44,0.49813666666666667
45,0.4552333333333333
