fold,sparsity
0,0.4905966666666667
1,0.6036322222222222
2,0.46078555555555556
3,0.41338888888888886
4,0.5355377777777778
5,0.6178255555555555
6,0.3977277777777778
7,0.6073777777777778
8,0.5846266666666666
9,0.5153544444444444
10,0.5219644444444445
11,0.4841288888888889
12,0.6033344444444444
13,0.4598777777777778
14,0.5220911111111111
15,0.5527488888888888
16,0.6130155555555555
17,0.6048644444444444
18,0.3437
19,0.60398
20,0.6483244444444445
21,0.46290555555555557
22,0.6048111111111111
23,0.6804566666666667
24,0.63996
25,0.5666666666666667
26,0.6316311111111111
27,0.6092044444444444
28,0.2719111111111111
29,0.38131333333333334
30,0.35444555555555557
31,0.6384677777777777
32,0.6174311111111112
33,0.54125
34,0.49841
35,0.6459488888888889
36,0.6608566666666666
37,0.6098433333333333
