fold,sparsity
0,0.39843
1,0.4036666666666667
2,0.42746
3,0.38664333333333334
4,0.42995666666666665
5,0.43000666666666665
6,0.4096
7,0.4362666666666667
8,0.41889333333333334
9,0.4099
10,0.4006
11,0.40801
12,0.4036666666666667
13,0.3841366666666667
14,0.40490333333333334
15,0.4308
16,0.407
17,0.43573666666666666
18,0.37304
19,0.42673333333333335
20,0.39873333333333333
21,0.38886333333333334
22,0.4266666666666667
23,0.3917333333333333
24,0.44908
25,0.42293333333333333
26,0.4036666666666667
27,0.4215333333333333
28,0.39407
29,0.39154
30,0.37648
31,0.4168
32,0.43046666666666666
33,0.41353666666666666
34,0.40819
35,0.42547
36,0.4052
37,0.41781
38,0.42118
39,0.3662533333333333
40,0.4308
41,0.41546666666666665
42,0.4174
43,0.44093333333333334
44,0.4518666666666667
45,0.42185666666666666
