fold,sparsity
0,0.5453151851851852
1,0.6604362962962963
2,0.5106096296296296
3,0.4602203703703704
4,0.6070296296296296
5,0.6657051851851852
6,0.4424988888888889
7,0.654015925925926
8,0.6364388888888889
9,0.5601314814814815
10,0.5777744444444445
11,0.53197
12,0.6639966666666667
13,0.49843814814814813
14,0.5657107407407408
15,0.6149718518518519
16,0.6677766666666667
17,0.6584507407407407
18,0.3743662962962963
19,0.6640625925925926
20,0.6919711111111111
21,0.5022833333333333
22,0.6618385185185185
23,0.7268507407407407
24,0.675202962962963
25,0.6053962962962963
26,0.6935311111111111
27,0.6762881481481482
28,0.29747111111111113
29,0.40238407407407406
30,0.3784462962962963
31,0.6983055555555555
32,0.6674348148148148
33,0.596125925925926
34,0.5447744444444445
35,0.6869703703703703
36,0.7182240740740741
37,0.6452481481481481
38,0.29598074074074077
39,0.33377851851851853
40,0.6996781481481481
41,0.6828185185185185
42,0.552012962962963
43,0.6286366666666666
44,0.6693566666666667
45,0.5524266666666666
