fold,sparsity
0,0.7168481481481481
1,0.8818
2,0.7106707407407408
3,0.6977192592592593
4,0.8726666666666667
5,0.8884
6,0.7339925925925926
7,0.8693333333333333
8,0.8849333333333333
9,0.7581333333333333
10,0.8764666666666666
11,0.7201485185185185
12,0.8652666666666666
13,0.7072444444444445
14,0.8333762962962963
15,0.8906666666666667
16,0.8754666666666666
17,0.8839333333333333
18,0.5414466666666666
19,0.8772
20,0.8445333333333334
21,0.6969566666666667
22,0.8772666666666666
23,0.8454666666666667
24,0.8612666666666666
25,0.8706666666666667
26,0.863
27,0.8637333333333334
28,0.5260229629629629
29,0.5398577777777778
30,0.5595748148148149
31,0.8712
32,0.8585333333333334
33,0.8858
34,0.7130214814814815
35,0.8875333333333333
36,0.8714
37,0.8992666666666667
38,0.4875888888888889
39,0.44476
40,0.8728
41,0.8526666666666667
42,0.8784666666666666
43,0.9010666666666667
44,0.8694666666666667
45,0.7179329629629629
