fold,sparsity
0,0.40549
1,0.48
2,0.37206666666666666
3,0.3497866666666667
4,0.4370777777777778
5,0.5050822222222222
6,0.33195555555555556
7,0.49766
8,0.4784788888888889
9,0.41368555555555553
10,0.41307
11,0.39581444444444447
12,0.5120111111111111
13,0.3673444444444444
14,0.42523333333333335
15,0.46273555555555557
16,0.4758788888888889
17,0.5028
18,0.2802966666666667
19,0.49637333333333333
20,0.5195377777777778
21,0.3753122222222222
22,0.49503555555555556
23,0.5597111111111112
24,0.5031333333333333
25,0.46070555555555553
26,0.5108688888888889
27,0.4964211111111111
28,0.2240311111111111
29,0.30627
30,0.28590777777777776
31,0.53265
32,0.5115088888888889
33,0.44338555555555553
34,0.4072
35,0.5050844444444444
36,0.5251322222222222
37,0.49659555555555557
38,0.2257611111111111
39,0.2430488888888889
40,0.5251288888888889
41,0.5039333333333333
42,0.3765133333333333
43,0.47567
44,0.5274966666666666
45,0.4300788888888889
