fold,sparsity
0,0.5544911111111112
1,0.6008
2,0.5358055555555555
3,0.5473077777777777
4,0.6695333333333333
5,0.6492
6,0.5936933333333333
7,0.6313333333333333
8,0.604
9,0.5848
10,0.5696666666666667
11,0.48817777777777777
12,0.5774666666666667
13,0.5142066666666667
14,0.7345333333333334
15,0.5465333333333333
16,0.593
17,0.613
18,0.6148688888888889
19,0.7311333333333333
20,0.5822666666666667
21,0.5481455555555556
22,0.6036666666666667
23,0.5662
24,0.5466
25,0.6172666666666666
26,0.5790666666666666
27,0.5699333333333333
28,0.48698
29,0.5414733333333334
30,0.4660577777777778
31,0.7238
32,0.5710666666666666
33,0.6464
34,0.5809766666666667
35,0.6676
36,0.5454
37,0.5788666666666666
38,0.48971333333333333
39,0.6066466666666667
40,0.6340666666666667
41,0.6880666666666667
42,0.6641333333333334
43,0.6170666666666667
44,0.6198
45,0.5504255555555555
