fold,sparsity
0,0.41582555555555556
1,0.4813762962962963
2,0.3796366666666667
3,0.3386807407407407
4,0.4476237037037037
5,0.5043581481481482
6,0.33822
7,0.4978648148148148
8,0.4828525925925926
9,0.41869074074074075
10,0.41671703703703705
11,0.3953640740740741
12,0.5131588888888889
13,0.3696814814814815
14,0.4293688888888889
15,0.46783814814814817
16,0.4782766666666667
17,0.5060414814814815
18,0.2887807407407407
19,0.4953874074074074
20,0.5241903703703704
21,0.3857596296296296
22,0.4949574074074074
23,0.557667037037037
24,0.5266285185185186
25,0.4640533333333333
26,0.5158877777777777
27,0.5046940740740741
28,0.22814592592592592
29,0.31297851851851854
30,0.28967296296296297
31,0.5315874074074074
32,0.5036314814814815
33,0.43750814814814815
34,0.4080737037037037
35,0.5288322222222223
36,0.5467962962962963
37,0.49519592592592593
38,0.23053333333333334
39,0.2526977777777778
40,0.5246011111111111
41,0.5037318518518519
42,0.3789462962962963
43,0.46996037037037036
44,0.5266425925925926
45,0.4186574074074074
