fold,sparsity
0,0.5453192592592593
1,0.6603403703703704
2,0.5107648148148148
3,0.46016259259259257
4,0.6069596296296297
5,0.6658185185185185
6,0.4422885185185185
7,0.6540951851851852
8,0.6362048148148148
9,0.5599896296296296
10,0.5776288888888889
11,0.5317081481481482
12,0.663645925925926
13,0.4982385185185185
14,0.5653037037037038
15,0.6148503703703704
16,0.6677655555555555
17,0.6582518518518519
18,0.3743340740740741
19,0.6641514814814815
20,0.6921577777777778
21,0.5022337037037037
22,0.6617733333333333
23,0.7268240740740741
24,0.6749533333333333
25,0.6053644444444445
26,0.6933525925925926
27,0.6764211111111111
28,0.2975359259259259
29,0.40230333333333335
30,0.3784388888888889
31,0.6981411111111111
32,0.6669562962962963
33,0.5959674074074074
34,0.544642962962963
35,0.6868685185185185
36,0.7179418518518519
37,0.64533
38,0.2958792592592593
39,0.3337625925925926
40,0.6992655555555556
41,0.6826748148148148
42,0.5525959259259259
43,0.6286088888888889
44,0.6693392592592593
45,0.5526559259259259
