fold,sparsity
0,0.2701033333333333
1,0.4548566666666667
2,0.22683333333333333
3,0.28428333333333333
4,0.4579666666666667
5,0.37373
6,0.38025
7,0.2835566666666667
8,0.2917266666666667
9,0.3984
10,0.29843333333333333
11,0.28567333333333333
12,0.40316
13,0.32042333333333334
14,0.37157666666666667
15,0.36543
16,0.36746666666666666
17,0.36571333333333333
18,0.27718
19,0.44193333333333334
20,0.41156
21,0.26415333333333335
22,0.48491666666666666
23,0.494
24,0.38676666666666665
25,0.37029666666666666
26,0.40317
27,0.4401
28,0.18386666666666668
29,0.21992333333333333
30,0.20504
31,0.3530433333333333
32,0.2842866666666667
33,0.27008
34,0.2991066666666667
35,0.38133333333333336
36,0.34969
37,0.42044333333333334
38,0.21892333333333333
39,0.28885333333333335
40,0.33305666666666667
41,0.4073366666666667
42,0.36283666666666664
43,0.3893333333333333
44,0.32426666666666665
45,0.2942666666666667
