fold,sparsity
0,0.5449411111111111
1,0.6607144444444445
2,0.5108611111111111
3,0.4600666666666667
4,0.6068955555555555
5,0.66641
6,0.4425366666666667
7,0.6541288888888889
8,0.6359744444444444
9,0.5603611111111111
10,0.5779611111111111
11,0.5319433333333333
12,0.6643633333333333
13,0.49838666666666664
14,0.56531
15,0.6146733333333333
16,0.66743
17,0.6583666666666667
18,0.37444555555555553
19,0.6641488888888889
20,0.6916911111111111
21,0.5023766666666667
22,0.6614577777777778
23,0.7271866666666666
24,0.6756311111111111
25,0.6055733333333333
26,0.6934655555555556
27,0.6766244444444445
28,0.29773666666666665
29,0.4024977777777778
30,0.3784711111111111
31,0.69796
32,0.6683122222222222
33,0.5961977777777778
34,0.5447433333333334
35,0.6876644444444444
36,0.7175733333333333
37,0.6452588888888889
38,0.2959777777777778
39,0.33400111111111114
40,0.6998355555555555
41,0.6832822222222222
42,0.5520622222222222
43,0.6293988888888888
44,0.6687977777777778
45,0.5524733333333334
