fold,sparsity
0,0.650214074074074
1,0.8006003703703704
2,0.6165192592592592
3,0.55142
4,0.7147185185185185
5,0.8015522222222222
6,0.5303007407407407
7,0.7894788888888888
8,0.7655607407407408
9,0.6745266666666667
10,0.7020711111111111
11,0.6383740740740741
12,0.7986911111111111
13,0.594267037037037
14,0.6797685185185185
15,0.7330625925925925
16,0.8138344444444444
17,0.7863688888888889
18,0.45180777777777775
19,0.8012007407407408
20,0.8384096296296296
21,0.6009040740740741
22,0.799124074074074
23,0.874935925925926
24,0.8322492592592593
25,0.7332211111111111
26,0.8368633333333333
27,0.811132962962963
28,0.35734074074074074
29,0.4844485185185185
30,0.45586629629629627
31,0.8395577777777777
32,0.8008377777777778
33,0.7119103703703704
34,0.6550174074074074
35,0.83063
36,0.8622003703703703
37,0.7842807407407407
38,0.35292555555555555
39,0.39968555555555557
40,0.835702962962963
41,0.8202477777777778
42,0.6861144444444445
43,0.7649922222222222
44,0.7999225925925926
45,0.6668237037037037
