fold,sparsity
0,0.5047362962962963
1,0.6668666666666667
2,0.6183033333333333
3,0.648232962962963
4,0.6959333333333333
5,0.7398
6,0.4842066666666667
7,0.7191333333333333
8,0.7189333333333333
9,0.668
10,0.7204
11,0.5028996296296296
12,0.7316666666666667
13,0.6304662962962962
14,0.6513251851851852
15,0.7468
16,0.7147333333333333
17,0.7372
18,0.5445125925925925
19,0.7286666666666667
20,0.7134666666666667
21,0.5794703703703704
22,0.7328
23,0.7306
24,0.754
25,0.7072666666666667
26,0.7404
27,0.7178
28,0.49333037037037036
29,0.5544948148148148
30,0.565274074074074
31,0.7371333333333333
32,0.7549333333333333
33,0.6207333333333334
34,0.6785566666666667
35,0.7794
36,0.7492666666666666
37,0.7212666666666666
38,0.5044581481481482
39,0.5067777777777778
40,0.693402962962963
41,0.7363333333333333
42,0.7532
43,0.6556
44,0.634
45,0.6596937037037037
