fold,sparsity
0,0.29095
1,0.33185555555555557
2,0.30810444444444446
3,0.2807422222222222
4,0.371
5,0.4427333333333333
6,0.3052111111111111
7,0.4488666666666667
8,0.28946777777777777
9,0.42528555555555553
10,0.3161144444444444
11,0.34907555555555553
12,0.2638977777777778
13,0.25928222222222225
14,0.38481333333333334
15,0.3373188888888889
16,0.2692
17,0.4054977777777778
18,0.27556
19,0.3356411111111111
20,0.4951511111111111
21,0.39325666666666664
22,0.3743533333333333
23,0.33446777777777775
24,0.32384111111111114
25,0.45394444444444443
26,0.2663333333333333
27,0.36130444444444443
28,0.23088555555555557
29,0.24936333333333333
30,0.24798444444444445
31,0.4885688888888889
32,0.27586555555555553
33,0.44356444444444443
34,0.31582333333333334
35,0.3484
36,0.3312
37,0.36859555555555557
38,0.2932777777777778
39,0.22093444444444443
40,0.2558
41,0.35933333333333334
42,0.42551
43,0.4192211111111111
44,0.38622222222222224
45,0.34992666666666666
