fold,sparsity
0,0.6496405555555556
1,0.8007911111111111
2,0.6166322222222222
3,0.5515016666666667
4,0.7147805555555555
5,0.8018777777777778
6,0.5302961111111111
7,0.7888066666666667
8,0.7655561111111111
9,0.6751205555555555
10,0.70199
11,0.6380738888888889
12,0.7987005555555555
13,0.5942816666666667
14,0.6800822222222223
15,0.7331311111111111
16,0.8137672222222222
17,0.7865711111111111
18,0.4519211111111111
19,0.8019066666666667
20,0.8384916666666666
21,0.6011155555555555
22,0.7987711111111111
23,0.8749194444444445
24,0.83252
25,0.7332072222222222
26,0.8370405555555556
27,0.8106255555555556
28,0.3571927777777778
29,0.4845477777777778
30,0.4556705555555556
31,0.8389872222222222
32,0.8011516666666667
33,0.7115672222222222
34,0.6548516666666667
35,0.8308811111111111
36,0.8628944444444444
37,0.78417
38,0.3530083333333333
39,0.3995783333333333
40,0.8355283333333333
41,0.8202711111111111
42,0.6852522222222223
43,0.7656038888888889
44,0.7998255555555556
45,0.6661883333333334
