fold,sparsity
0,0.0
1,0.0
2,0.0
0,0.0
0,0.0
1,0.0
2,0.0
0,0.0
1,0.0
2,0.0
0,0.0
0,0.0
0,0.0
1,0.0
2,0.0
0,0.0
0,0.028738333333333334
1,0.04704916666666667
2,0.042633333333333336
0,0.028738333333333334
0,0.03950833333333333
1,0.04608375
2,0.03754847222222222
0,0.03950833333333333
1,0.04126055555555556
2,0.03936861111111111
0,0.12821444444444444
1,0.11131888888888888
2,0.11043527777777777
0,0.13205033333333333
1,0.11095733333333334
2,0.11173775
0,0.12821154166666668
1,0.106069125
2,0.1057608125
0,0.1331925
1,0.11628833333333333
2,0.1139875
