fold,sparsity
0,0.6499494444444445
1,0.8007333333333333
2,0.6163411111111111
3,0.5519777777777778
4,0.7147733333333334
5,0.801355
6,0.5302483333333333
7,0.7894766666666667
8,0.7662344444444444
9,0.6750533333333333
10,0.7023522222222223
11,0.6381722222222223
12,0.7990477777777778
13,0.59391
14,0.6801288888888889
15,0.7334038888888889
16,0.8135261111111111
17,0.7865311111111111
18,0.45167444444444443
19,0.8018016666666666
20,0.8385422222222222
21,0.600865
22,0.798305
23,0.8746777777777778
24,0.8321755555555556
25,0.7332088888888889
26,0.8367183333333333
27,0.8113833333333333
28,0.3571588888888889
29,0.48453277777777776
30,0.4560327777777778
31,0.8396466666666667
32,0.8004466666666666
33,0.7112744444444444
34,0.6543588888888889
35,0.8309433333333334
36,0.862865
37,0.7840766666666666
38,0.3530161111111111
39,0.3994438888888889
40,0.8357016666666667
41,0.8207572222222222
42,0.6863155555555556
43,0.7648527777777778
44,0.7993366666666667
45,0.6666977777777777
