fold,sparsity
0,0.70799
1,0.7600666666666667
2,0.6241244444444445
3,0.6209322222222222
4,0.6672666666666667
5,0.6904666666666667
6,0.6564166666666666
7,0.6785333333333333
8,0.7536666666666667
9,0.6857333333333333
10,0.6292666666666666
11,0.6462544444444445
12,0.6491333333333333
13,0.6653444444444444
14,0.7433333333333333
15,0.7678666666666667
16,0.7254
17,0.7916666666666666
18,0.6246888888888888
19,0.7003333333333334
20,0.7344
21,0.6650988888888889
22,0.7523333333333333
23,0.7412666666666666
24,0.8236
25,0.6936
26,0.745
27,0.6854
28,0.5809288888888889
29,0.6551177777777778
30,0.5890466666666667
31,0.7104
32,0.6912
33,0.7456666666666667
34,0.7187688888888889
35,0.7414666666666667
36,0.6548666666666667
37,0.6534
38,0.6289044444444445
39,0.61908
40,0.6952666666666667
41,0.6285333333333334
42,0.6678
43,0.6261333333333333
44,0.6336666666666667
45,0.6279222222222223
