fold,sparsity
0,0.5454022222222222
1,0.6604455555555555
2,0.5105466666666667
3,0.46012555555555557
4,0.6071077777777778
5,0.6657
6,0.4420188888888889
7,0.65337
8,0.6368133333333333
9,0.5599644444444445
10,0.5776022222222222
11,0.5326311111111112
12,0.6629511111111112
13,0.4982522222222222
14,0.5657466666666666
15,0.6149277777777777
16,0.6679411111111111
17,0.6580522222222223
18,0.3744411111111111
19,0.6639744444444444
20,0.6920666666666667
21,0.5025166666666666
22,0.6620955555555555
23,0.7266344444444445
24,0.6753044444444445
25,0.60542
26,0.6933788888888889
27,0.6766722222222222
28,0.29760888888888887
29,0.4024988888888889
30,0.37849333333333335
31,0.6983511111111111
32,0.6678566666666667
33,0.5964455555555556
34,0.5441511111111111
35,0.6878022222222222
36,0.7183333333333334
37,0.6455488888888888
38,0.2955288888888889
39,0.3342133333333333
40,0.6998088888888889
41,0.6833444444444444
42,0.5519288888888889
43,0.6291088888888889
44,0.6692944444444444
45,0.5521655555555556
